Character;EXT;NEU;AGR;CON;OPN;Sentence
dumbledore;1;1;0;0;1; my friend nicholas and i had a little chat and agreed it was best all around. 
dumbledore;1;1;0;0;1; he has enough elixir to set his affairs in order.  
dumbledore;1;1;1;0;1; but yes, he will die. 
dumbledore;1;1;0;1;1; ah. you see, only a person who wanted to find the stone, find it, but not use it, would be able to get it.  
dumbledore;1;1;1;0;1; that is one of my more brilliant ideas.  
dumbledore;1;1;1;0;1; and between you and me thats saying something. 
dumbledore;0;1;0;0;1; ah, i'm afraid there are ways in which he can return.  
dumbledore;1;1;0;1;1; harry, do you know why professor quirrell couldn't bear to have you touch him? 
dumbledore;1;1;0;1;1; it was because of your mother.  
dumbledore;1;1;1;0;1; she sacrificed herself for you, and that kind of act leaves a mark.  
dumbledore;1;1;0;1;1; no, no, this kind of mark cannot be seen. 
dumbledore;0;1;0;0;1; it lives in your very skin. 
dumbledore;1;1;1;0;1; love, harry, love.  
dumbledore;0;1;1;1;1; ah. bertie bott's every flavour beans.  
dumbledore;0;0;0;0;1; i was most unfortunate in my youth to come across a vomit flavoured one, and since then i have lost my liking for them.  
dumbledore;1;1;1;1;1; but i think i could be safe with a nice toffee... 
dumbledore;1;1;1;0;1; mm. alas. earwax. 
dumbledore;1;1;0;0;1; another year gone.  
dumbledore;1;1;0;0;1; and now, as i understand it, the house cup needs awarding, and the points stand thus.  
dumbledore;1;1;0;0;1; in fourth place, gryffindor with 312 points.  
dumbledore;0;1;1;0;1; third place, hufflepuff, with 352 points.  
dumbledore;1;1;0;0;1; in second place, ravenclaw, with 426 points 
dumbledore;0;1;0;0;1; and in first place, with 472 points, slytherin house. 
dumbledore;1;1;0;0;1; yes, yes, well done slytherin, well done slytherin.  
dumbledore;1;1;0;0;1; however, recent events must be taken into account.  
dumbledore;1;1;0;1;1; and i have a few last minute points to award.  
dumbledore;1;1;0;1;1; to miss hermione granger, for the use of cool intellect when others were in great peril, 50 points.  
dumbledore;1;0;0;0;1; second, to mr. ronald weasley, for the best played game of chess that hogwarts has seen these many years...50 points.  
dumbledore;0;1;0;1;0; and third, to mr. harry potter, for pure nerve and outstanding courage, i award gryffindor house 60 points.  
dumbledore;1;1;0;1;1; and finally, it takes a great deal of bravery to stand up to your enemies, but a great deal more to stand up to your friends.  
dumbledore;1;1;0;1;1; i award 10 points to neville longbottom. 
dumbledore;1;1;0;0;1; assuming that my calculations are correct, i believe that a change of direction is in order.  
dumbledore;1;1;1;0;1; gryffindor wins the house cup! 
dumbledore;1;1;0;0;1; they are not. 
dumbledore;1;1;1;1;1; i am well aware of our bylaws having written quite a few of them myself. 
dumbledore;1;1;1;1;1; however, as head of gryffindor house it is for professor mcgonagall to determine the appropriate action. 
dumbledore;1;1;0;0;1; argus! 
dumbledore;1;1;0;0;1; argus, i... 
dumbledore;1;1;1;0;1; everyone will proceed to their dormitories immediately. 
dumbledore;1;1;1;0;1; everyone except you three. 
dumbledore;1;1;0;0;1; she's not dead, argus. 
dumbledore;1;1;0;0;1; she has been petrified. 
dumbledore;1;1;1;0;1; but how she has been petrified, i cannot say. 
dumbledore;1;1;1;0;1; innocent until proven guilty, severus. 
dumbledore;1;1;1;1;1; we will be able to cure her, argus. 
dumbledore;1;1;0;0;1; as i understand it, madam sprout has a very healthy growth of mandrake. 
dumbledore;1;1;0;1;1; when matured, a potion will be made which will revive mrs. norris. 
dumbledore;1;1;1;1;1; and in the meantime i strongly recommend caution to all. 
dumbledore;1;1;1;0;1; there's been another attack. 
dumbledore;1;1;0;1;1; it means that our students are in great danger. 
dumbledore;1;1;0;0;1; the truth. 
dumbledore;0;1;0;1;1; tell them hogwarts is no longer safe. 
dumbledore;1;1;0;0;1; it is as we feared, minerva 
dumbledore;1;1;0;0;1; the chamber of secrets has indeed been opened again. 
dumbledore;1;1;1;0;1; harry? 
dumbledore;1;1;1;0;1; and about time too. 
dumbledore;1;1;0;0;1; he's been looking dreadful for days. 
dumbledore;1;1;0;0;1; pity you had to see him on a burning day. 
dumbledore;1;1;1;1;1; fawkes is a phoenix, harry. 
dumbledore;1;0;0;0;1; they burst into flame when it is time for them to die... 
dumbledore;1;0;0;0;1; and then they are reborn from the ashes. 
dumbledore;1;1;1;0;1; fascinating creatures, phoenixes. 
dumbledore;1;1;0;0;1; they can carry immensely heavy loads. 
dumbledore;1;1;1;0;1; their tears have healing powers. 
dumbledore;0;1;0;1;1; hagriiid!! relax. 
dumbledore;1;1;1;1;1; i do not believe that harry attacked anyone. 
dumbledore;1;1;0;0;1; yes. 
dumbledore;1;1;0;0;1; no, harry. i do not think it was you. 
dumbledore;1;1;0;0;1; but i must ask you is there something you wish to tell me? 
dumbledore;1;1;0;0;1; very well, then. 
dumbledore;1;1;1;0;1; off you go. 
dumbledore;1;1;0;0;1; riddle! come. 
dumbledore;1;1;1;0;1; it is not wise to be wandering around this late hour, tom. 
dumbledore;0;1;1;0;1; i'm afraid they are, tom. 
dumbledore;1;1;1;0;1; they are true. 
dumbledore;0;1;1;0;1; i understand, tom, but i'm afraid headmaster dippet may have no choice. 
dumbledore;0;1;1;0;1; is there something you wish to tell me? 
dumbledore;1;1;1;0;1; very well, then. off you go. 
dumbledore;1;1;0;0;1; good evening, hagrid. 
dumbledore;1;1;1;0;1; i wonder, could we...? 
dumbledore;0;1;1;1;1; i want it understood, cornelius that hagrid has my full confidence. 
dumbledore;1;1;1;0;1; well, what exactly is it that you want with me? 
dumbledore;1;1;1;0;1; calm yourself, hagrid. 
dumbledore;1;1;0;1;1; if the governors desire my removal i will, of course, step aside. 
dumbledore;1;1;0;0;1; however you will find that help will always be given at hogwarts to those who ask for it. 
dumbledore;0;1;0;1;1; you both realize, of course that in the past few hours, you have broken perhaps a dozen school rules. 
dumbledore;1;1;1;0;1; there is sufficient evidence to have you both expelled. 
dumbledore;0;1;1;1;1; therefore, it is only fitting that you both receive special awards for services to the school. 
dumbledore;0;1;1;0;1; now, mr. weasley, if you would have an owl deliver these release papers to azkaban. 
dumbledore;1;1;1;0;1; i believe we want our gamekeeper back. 
dumbledore;0;1;1;1;1; harry, first, i want to thank you, harry. 
dumbledore;1;1;0;1;1; you must have shown me real loyalty down in the chamber. 
dumbledore;1;1;0;0;1; nothing but that could have called fawkes to you. 
dumbledore;1;1;0;0;1; and second i sense that something is troubling you. 
dumbledore;1;1;1;0;1; am i right, harry? 
dumbledore;1;0;0;0;1; i see. 
dumbledore;1;0;1;1;1; well, you can speak parseltongue, harry. why? 
dumbledore;1;1;1;0;1; because lord voldemort can speak parseltongue. 
dumbledore;1;1;1;0;1; if i'm not mistaken, harry he transferred some of his powers to you the night he gave you that scar. 
dumbledore;1;1;0;0;1; not intentionally but yes. 
dumbledore;1;1;1;1;1; it's true. you possess many of the qualities that voldemort himself prizes. 
dumbledore;1;1;1;0;1; determination, resourcefulness and if i may say so, a certain disregard for the rules. 
dumbledore;1;1;0;0;1; why, then, did the sorting hat place you in gryffindor? 
dumbledore;1;1;1;0;1; exactly, harry. exactly. 
dumbledore;1;1;1;0;1; which makes you different from voldemort. 
dumbledore;1;1;1;0;1; it is not our abilities that show what we truly are. 
dumbledore;1;1;0;0;1; it is our choices. 
dumbledore;1;1;1;0;1; if you want proof why you belong in gryffindor then i suggest you look more closely at this. 
dumbledore;1;1;1;1;1; be careful. 
dumbledore;1;1;1;0;1; it would take a true gryffindor to pull that out of the hat. 
dumbledore;1;1;0;0;1; when the governors learned that arthur weasley's daughter was taken into the chamber, they saw fit to summon me back. 
dumbledore;0;1;0;0;1; curiously, lucius, several of them were under the impression that you would curse their family if they did not agree to suspend me in the first place. 
dumbledore;1;1;1;1;1; beg your pardon? 
dumbledore;1;1;0;0;1; yes. 
dumbledore;1;1;0;0;1; voldemort. 
dumbledore;1;1;1;1;1; only this time he chose to act through somebody else by means of this. 
dumbledore;1;1;0;0;1; fortunately, our young mr. potter discovered it. 
dumbledore;1;1;0;0;1; one hopes that no more of lord voldemort's old school-things should find their way into innocent hands. 
dumbledore;1;1;1;1;1; the consequences for the one responsible would be severe. 
dumbledore;1;1;0;1;1; before we begin the feast let us have a round of applause for professor sprout, madam pomfrey whose mandrake juice has been so successfully administered to all who had been petrified. 
dumbledore;0;1;0;0;1; also, in light of the recent events as a school treat all exams have been canceled. 
dumbledore;1;1;1;0;1; welcome! welcome to another year at hogwarts. 
dumbledore;1;1;0;1;1; now, i'd like to say a few words before we all become too befuddled by our excellent feast. 
dumbledore;0;1;0;0;1; first, i'm pleased to welcome professor r.j. lupin who's kindly consented to fill the post of defense against the dark arts teacher. 
dumbledore;1;1;0;1;1; good luck, professor. 
dumbledore;1;1;0;0;1; our care of magical creatures teacher has decided to retire in order to spend more time with his remaining limbs. 
dumbledore;1;1;1;0;1; fortunately, i'm delighted to announce that his place will be taken by none other than our own rubeus hagrid. 
dumbledore;1;1;0;0;1; finally, on a more disquieting note at the request of the ministry of magic  
dumbledore;1;1;1;0;1; hogwarts will, until further notice, play host to the dementors of azkaban until such a time as sirius black is captured. 
dumbledore;1;1;1;0;1; the dementors will be stationed at every entrance to the grounds. 
dumbledore;1;0;1;0;1; now whilst i've been assured that their presence will not disrupt our day-to-day activities a word of caution. 
dumbledore;1;1;1;0;1; dementors are vicious creatures. 
dumbledore;0;1;0;1;1; they'll not distinguish between the one they hunt and the one who gets in their way. 
dumbledore;0;1;0;0;1; therefore, i must warn each and every one of you to give them no reason to harm you. 
dumbledore;1;1;0;0;1; it is not in the nature of a dementor to be forgiving. 
dumbledore;1;1;1;1;1; but you know, happiness can be found even in the darkest of times if one only remembers to turn on the light. 
dumbledore;1;1;1;0;1; mr. filch? round up the ghosts. 
dumbledore;0;1;1;1;1; tell them to search every painting in the castle to find the fat lady. 
dumbledore;1;1;0;0;1; keep moving! 
dumbledore;1;1;1;0;1; dear lady, who did this to you? 
dumbledore;1;1;1;0;1; secure the castle, mr. filch. 
dumbledore;0;1;0;0;1; the rest of you, to the great hall. 
dumbledore;1;1;0;0;1; thank you. 
dumbledore;1;1;1;0;1; very good. 
dumbledore;1;1;0;0;1; i didn't really expect him to linger. 
dumbledore;1;1;0;1;1; quite remarkable, yes. 
dumbledore;0;1;0;0;1; many. each as unlikely as the next. 
dumbledore;1;1;1;1;1; not a single professor inside this castle would help sirius black enter it. 
dumbledore;1;0;1;1;1; i'm quite convinced the castle is safe and i'm more than willing to send the students to their houses. 
dumbledore;1;0;0;0;1; perhaps. but for now, let him sleep. 
dumbledore;1;1;1;0;1; for in dreams, we enter a world that's entirely our own. 
dumbledore;1;1;1;0;1; let them swim in the deepest ocean or glide over the highest cloud. 
dumbledore;1;1;0;0;1; aresto momentum! 
dumbledore;0;0;0;0;1; no, minister. over this way. 
dumbledore;0;0;0;1;1; that's ling you see over there... 
dumbledore;1;1;1;1;1; on the slope... ah, hagrid. 
dumbledore;1;1;0;0;1; good evening. 
dumbledore;0;1;1;1;1; i'd like a cup of tea. 
dumbledore;1;1;0;1;1; now, now, hagrid. now, come on. 
dumbledore;1;1;1;1;1; all right. it'll be all right. 
dumbledore;1;1;0;0;1; scabbers? 
dumbledore;1;1;0;0;1; i do, miss granger. 
dumbledore;0;1;1;0;1; but the word of three 13-year-old wizards will convince few others. 
dumbledore;0;1;1;1;1; a child's voice, however honest and true is meaningless to those who have forgotten how to listen. 
dumbledore;0;0;1;0;1; mysterious thing, time. 
dumbledore;1;1;1;1;1; powerful and when meddled with, dangerous. 
dumbledore;1;1;0;0;1; sirius black is in the topmost cell of the dark tower. 
dumbledore;0;1;0;0;1; you know the laws, miss granger 
dumbledore;1;1;0;0;1; you must not be seen. 
dumbledore;1;1;1;1;1; and you would do well, i feel, to return before this last chime. 
dumbledore;1;1;0;0;1; if not, the consequences are too ghastly to discuss. 
dumbledore;1;1;0;0;1; if you succeed tonight more than one innocent life may be spared. 
dumbledore;0;1;0;0;1; three turns should do it, i think. 
dumbledore;1;1;1;0;1; oh, and by the way. 
dumbledore;1;1;0;0;1; when in doubt, i find retracing my steps to be a wise place to begin. 
dumbledore;1;1;0;0;1; good luck. 
dumbledore;0;1;1;0;1; minister, i really think i should sign as well. 
dumbledore;1;0;1;0;1; it's such a very long name... 
dumbledore;1;1;0;1;1; here we are, minister. follow me. 
dumbledore;1;1;1;1;1; now, look there. 
dumbledore;0;1;1;1;1; look beyond the rocks. 
dumbledore;1;1;1;1;1; professor dippet had that ling planted when he was headmaster. 
dumbledore;1;1;1;0;1; and all the strawberries. 
dumbledore;1;1;0;1;1; over there. 
dumbledore;1;1;0;1;1; over there. 
dumbledore;1;1;0;0;1; all right. 
dumbledore;1;1;1;1;1; how extraordinary. 
dumbledore;1;1;0;0;1; i don't think the minister's suggesting you had anything to do with this. 
dumbledore;1;1;1;0;1; afterall, how could you? 
dumbledore;1;1;0;0;1; you've been with us all the time. 
dumbledore;0;1;0;1;1; well, search the skies, if you must, minister. 
dumbledore;0;0;1;1;1; meanwhile, i'd like a nice cup of tea or a large brandy. 
dumbledore;0;1;0;1;1; oh, executioner, your services are no longer required. 
dumbledore;1;1;0;0;1; thank you. 
dumbledore;1;1;1;0;1; well? 
dumbledore;1;1;1;0;1; did what? 
dumbledore;1;1;1;0;1; good night.
mcgonagall;1;1;0;0;1;good evening, professor dumbledore. 
mcgonagall;1;1;1;0;1; are the rumors true, albus? 
mcgonagall;1;1;0;0;1; and the boy? 
mcgonagall;1;1;0;0;1; do you think it wise to trust hagrid with something as important as this? 
mcgonagall;1;1;0;0;1; i've watched them all day. 
mcgonagall;1;1;1;0;1; they're the worst sort of muggles, imaginable. 
mcgonagall;1;1;0;0;1; they really are... 
mcgonagall;1;1;0;0;1; this boy will be famous. 
mcgonagall;0;1;1;0;1; there won't be a child in our world who doesn't know his name. 
mcgonagall;1;1;0;0;1; welcome to hogwarts. 
mcgonagall;1;0;1;1;1; now, in a few moments, you'll pass through these doors and join your classmates. 
mcgonagall;1;1;0;1;1; but before you can take your seats, you must be sorted into your houses. 
mcgonagall;1;1;1;0;1; they are gryffindor, hufflepuff ravenclaw and slytherin. 
mcgonagall;1;1;1;1;1; now, while you're here, your house will be like your family. 
mcgonagall;1;1;0;0;1; your triumphs will earn you points. 
mcgonagall;1;1;0;0;1; any rule-breaking, and you will lose points. 
mcgonagall;0;1;0;0;1; at the end of the year, the house with the most points is awarded the house cup 
mcgonagall;1;1;1;0;1; the sorting ceremony will begin momentarily. 
mcgonagall;1;0;0;0;1; we're ready for you now. 
mcgonagall;1;1;0;0;1; follow me. 
mcgonagall;1;1;0;0;1; all right, will you wait along here, please? 
mcgonagall;1;0;1;1;1; now, before we begin professor dumbledore would like to say a few words. 
mcgonagall;1;1;1;0;1; when i call your name, you will come forth. 
mcgonagall;1;1;0;0;1; i shall place the sorting hat on your head and you will be sorted into your houses. 
mcgonagall;1;1;0;0;1; hermione granger. 
mcgonagall;1;1;0;0;1; draco malfoy. 
mcgonagall;1;1;0;0;1; susan bones. 
mcgonagall;1;1;0;0;1; ronald weasley. 
mcgonagall;1;1;1;1;1; harry potter. 
mcgonagall;1;1;0;0;1; your attention, please. 
mcgonagall;0;1;1;0;1; thank you for that assessment, mr weasley. 
mcgonagall;1;1;0;0;1; perhaps, lt'd be more useful if i were to transfigure mr. potter and yourself into a pocket-watch. 
mcgonagall;1;1;1;0;1; that way, one of you might be on time. 
mcgonagall;0;1;0;0;1; then perhaps a map? 
mcgonagall;1;1;0;0;1; i trust you don't need one to find your seats. 
mcgonagall;1;1;1;1;1; harry potter! 
mcgonagall;1;1;0;0;1; follow me. 
mcgonagall;1;1;0;0;1; you wait here. 
mcgonagall;1;1;0;1;1; professor quirrell, excuse me. 
mcgonagall;1;1;1;0;1; could i borrow wood for a moment please? 
mcgonagall;1;1;0;1;1; potter, this is oliver wood. 
mcgonagall;1;1;0;1;1; wood, i have found you a seeker. 
mcgonagall;1;1;1;0;1; oh! oh, my goodness!  
mcgonagall;1;1;1;0;1; e-explain yourselves, both of you! 
mcgonagall;1;1;0;1;1;  ms. granger? 
mcgonagall;1;1;1;0;1; be that as it may...it was an extremely foolish thing to do.  
mcgonagall;1;1;0;1;1; i would have expected more rational behaviour on your part and i am very disappointed in you ms. granger.  
mcgonagall;1;1;0;0;1; 5 points will be taken from gryffindor for your serious lack of judgment.  
mcgonagall;1;0;0;1;1; as for you two gentlemen i just hope you realize how fortunate you are.  
mcgonagall;1;0;1;1;1; not many first year students could take on a full grown mountain troll and live to tell the tale.  
mcgonagall;1;1;0;0;1; 5 points...will be awarded to each of you.  
mcgonagall;1;1;0;0;1; for sheer dumb luck.  
mcgonagall;1;1;0;0;1; good evening. 
mcgonagall;1;1;0;1;1; nothing, i repeat, nothing gives a student the right to walk about the school at night.  
mcgonagall;1;1;0;0;1; therefore, as punishment for your actions, 50 points will be taken. 
mcgonagall;1;1;1;1;1; each. and to ensure it doesn't happen again, all four of you will receive detention. 
mcgonagall;0;1;1;0;1; no, you heard me correctly, mr. malfoy.  
mcgonagall;1;1;0;0;1; you see, as honorable as your intentions were, you too were out of bed after hours.  
mcgonagall;1;1;0;1;1; you will join your classmates in detention. 
mcgonagall;0;1;1;0;1; i'm afraid professor dumbledore is not here.  
mcgonagall;0;1;1;0;1; he received an urgent owl from the ministry of magic and left immediately for london. 
mcgonagall;1;1;0;0;1; how do you know? 
mcgonagall;0;1;0;0;1; i don't know how you three found out about the stone, but i can assure you it is perfectly well-protected.  
mcgonagall;1;1;1;0;1; now would you go back to your dormitories? quietly.  
mcgonagall;1;1;1;0;1; what are you talking about, mr. weasley? 
mcgonagall;1;1;0;0;1; not today, mr. weasley but i must impress on both of you the seriousness of what you have done. 
mcgonagall;1;1;1;1;1; i will be writing to your families tonight, and you will both receive detention. 
mcgonagall;1;1;1;0;1; could i have your attention,please? 
mcgonagall;1;1;0;1;1; right. now, today, we will be transforming animals into water goblets. 
mcgonagall;1;1;0;0;1; like so. 
mcgonagall;0;1;1;0;1; one, two, three. vera verto. 
mcgonagall;1;0;0;0;1; now it's your turn. 
mcgonagall;1;1;0;0;1; who would like to go first? 
mcgonagall;0;1;1;0;1; ahh , mr. weasley. 
mcgonagall;0;1;1;0;1; one, two, three. vera verto. 
mcgonagall;1;1;1;0;1; that wand needs replacing, mr. weasley. 
mcgonagall;1;1;0;0;1; yes, miss granger? 
mcgonagall;1;1;1;0;1; very well. 
mcgonagall;1;1;1;0;1; you all know, of course that hogwarts was founded over a thousand years ago by the four greatest witches and wizards of the age: 
mcgonagall;1;1;1;0;1; godric gryffindor, 
mcgonagall;1;1;1;0;1; helga hufflepuff... 
mcgonagall;1;1;0;0;1; rowena ravenclaw 
mcgonagall;1;1;0;0;1; salazar slytherin. 
mcgonagall;1;1;0;1;1; now, three of the founders coexisted quite harmoniously. 
mcgonagall;1;1;1;0;1; one did not. 
mcgonagall;1;1;0;1;1; salazar slytherin wished to be more selective about the students admitted to hogwarts. 
mcgonagall;1;1;0;0;1; he believed magical learning should be kept within all-magic families. 
mcgonagall;1;1;1;0;1; in other words, pure-bloods. 
mcgonagall;1;0;1;0;1; unable to sway the others, he decided to leave the school. 
mcgonagall;1;1;0;0;1; now, according to legend slytherin had built a hidden chamber in this castle known as the chamber of secrets. 
mcgonagall;0;0;1;0;1; though, shortly before departing, he sealed it until that time when his own true heir returned to the school. 
mcgonagall;1;1;0;0;1; the heir alone would be able to open the chamber and unleash the horror within, and by so doing purge the school of all those who in slytherin's view, were unworthy to study magic. 
mcgonagall;1;1;1;0;1; well , naturally, the school has been searched many times. 
mcgonagall;1;1;1;1;1; no such chamber has been found. 
mcgonagall;1;1;0;1;1; the chamber is said to be home to something that only the heir of slytherin can control. 
mcgonagall;1;1;0;0;1; it is said to be the home of a monster. 
mcgonagall;1;1;0;0;1; i think he's been petrified, madam pomfrey. 
mcgonagall;0;1;0;0;1; look. perhaps he managed to take a picture of his attacker. 
mcgonagall;1;1;0;0;1; what can this mean, albus? 
mcgonagall;0;1;0;0;1; what should i tell the staff? 
mcgonagall;1;1;0;0;1; this is out of my hands, potter. 
mcgonagall;1;1;1;0;1; professor dumbledore will be waiting for you. 
mcgonagall;1;1;1;0;1; sherbet lemon. 
mcgonagall;1;1;0;0;1; this match has been canceled. 
mcgonagall;1;1;1;0;1; silence, wood. you and your teammates will go to gryffindor tower. now. 
mcgonagall;1;1;1;0;1; potter, you and i will find mr. weasley. 
mcgonagall;1;1;1;0;1; there's something the both of you have to see. 
mcgonagall;1;1;0;1;1; i warn you. 
mcgonagall;1;1;0;0;1; this could be a wee bit of a shock. 
mcgonagall;1;1;1;0;1; she was found near the library along with this. 
mcgonagall;1;1;0;0;1; does it mean anything to either of you? 
mcgonagall;1;1;1;0;1; could i have your attention, please? 
mcgonagall;1;1;0;0;1; because of recent events, these new rules will be put into effect immediately: 
mcgonagall;1;1;0;1;1;" all students will return to their house common rooms by 6:00 every evening.
 "
mcgonagall;1;1;0;1;1; all students will be escorted to each lesson by a teacher. 
mcgonagall;1;1;0;1;1; no exceptions. 
mcgonagall;1;1;0;0;1; i should tell you this: 
mcgonagall;1;1;0;0;1; unless the culprit behind these attacks is caught it is likely the school will be closed. 
mcgonagall;1;1;0;1;1; all students are to return to their house dormitories at once. 
mcgonagall;1;1;1;1;1; all teachers to the second-floor corridor immediately. 
mcgonagall;1;1;0;0;1; as you can see, the heir of slytherin has left another message. 
mcgonagall;1;1;1;0;1; our worst fear has been realized. 
mcgonagall;1;1;1;0;1; a student has been taken by the monster into the chamber itself. 
mcgonagall;1;1;0;1;1; the students must be sent home. 
mcgonagall;0;1;1;0;1; i'm afraid this is the end of hogwarts. 
mcgonagall;1;1;0;0;1; that's settled.  
mcgonagall;1;1;1;0;1; we'll leave you to deal with the monster, gilderoy. 
mcgonagall;1;1;1;0;1; your skills, after all, are legend. 
mcgonagall;1;1;0;0;1; ginny weasley. 
mcgonagall;1;1;1;0;1; could i have your attention, please? 
mcgonagall;1;1;0;0;1; remember, these visits to hogsmeade village are a privilege. 
mcgonagall;1;1;0;1;1; should your behavior reflect poorly on the school that privilege shall not be extended again. 
mcgonagall;1;1;0;0;1; no permission form signed, no visiting the village. 
mcgonagall;1;1;0;0;1; that's the rule, potter. 
mcgonagall;0;1;1;0;1; i can't. only a parent or a guardian can sign. 
mcgonagall;1;1;0;0;1; since i am neither, it would be inappropriate. 
mcgonagall;1;1;1;0;1; i'm sorry, potter. 
mcgonagall;1;1;1;0;1; that's my final word. 
mcgonagall;1;1;0;0;1; cornelius! 
mcgonagall;1;1;0;0;1; professor dumbledore doesn't want dementors around the place. 
mcgonagall;1;1;1;0;1; years ago, when harry potter's parents realized they were marked for death... 
mcgonagall;1;1;0;0;1; remember? they hid. 
mcgonagall;0;1;0;1;1; few knew where they were. 
mcgonagall;1;1;1;0;1; one who did was sirius black. 
mcgonagall;1;1;1;0;1; and he told you-know-who. 
mcgonagall;1;1;0;0;1; little lump of a boy. 
mcgonagall;1;1;0;1;1; always trailing after black. 
mcgonagall;0;1;0;0;1; peter tried to warn the potters and might have, had he not run into an old friend, sirius black. 
mcgonagall;0;1;0;0;1; yes, sirius black may not have put his hands to the potters but he's the reason they're dead. 
mcgonagall;1;1;1;0;1; this: sirius black was and remains to this day harry potter's godfather! 
mcgonagall;1;1;0;0;1; little lump of a boy. 
mcgonagall;1;1;0;1;1; always trailing after sirius black.
hagrid;1;1;0;0;1;professor dumbledore, sir. 
hagrid;1;1;1;1;1; professor mcgonagall. 
hagrid;1;1;0;0;1; no, sir. 
hagrid;1;1;0;0;1; little tyke fell asleep just as we were flying over bristol. 
hagrid;1;1;0;0;1; try not to wake him. 
hagrid;1;1;1;0;1; there you go. 
hagrid;1;1;1;0;1; sorry about that. 
hagrid;0;1;0;0;1; dry up, dursley, you great prune. 
hagrid;1;1;1;1;0; mind, i haven't seen you since you was a baby, harry. 
hagrid;1;1;1;0;1; but you're a bit more along than i would have expected. 
hagrid;1;1;1;0;1; particularly 'round the middle. 
hagrid;1;1;1;0;1; well, of course you are. 
hagrid;1;1;0;0;1; got something for you. 
hagrid;1;1;0;1;1; afraid i might have sat on it at somepoint, but i imagine it'll taste fine just the same. 
hagrid;1;1;1;0;1; baked it myself, words and all. 
hagrid;1;0;0;0;1; it's not every day that your young man turns 11, now is it? 
hagrid;1;1;1;1;1; rubeus hagrid, keeper of keys and grounds at hogwarts. 
hagrid;1;1;1;0;1; of course, you know all about hogwarts. 
hagrid;1;1;1;1;1; no? blimey, harry, didn't you ever wonder where your mum and dad learned it all? 
hagrid;1;1;1;0;1; you're a wizard, harry. 
hagrid;1;1;0;0;1; a wizard. 
hagrid;1;1;1;0;1; and a thumping good one, i'd wager, once you're trained up little. 
hagrid;1;1;1;1;1; well, just harry, did you ever make anything happen? 
hagrid;1;1;0;1;1; anything you couldn't explain, when you were angry or scared? 
hagrid;1;1;0;0;1; a car crash?  
hagrid;1;1;0;0;1; a car crash killed lily and james potter? 
